"episode_id";"episode_title";"year";"episode_rating";"episode_votes"
"tt2329122";"Mystery Girl";"2013";"7,2";"5"
"tt2329162";"I've Been Keeping a Secret";"2013";"N/A";"N/A"
"tt2329164";"How I Met Your Father";"2013";"N/A";"N/A"
"tt2329168";"Somebody's Gotta Pay";"2013";"N/A";"N/A"
"tt2329170";"The Real Baby Daddy";"2013";"N/A";"N/A"
"tt2329174";"The Gun";"2013";"N/A";"N/A"
"tt2329176";"Good Girls Don't";"2013";"N/A";"N/A"
"tt2329180";"Congratulations and Felicidades";"2013";"N/A";"N/A"
"tt3818154";"The Queen of Ugly and the King of Fools";"2014";"N/A";"N/A"
"tt3818180";"Lesbians Out Loud";"2014";"N/A";"N/A"
"tt3818556";"Luchadoras";"2014";"N/A";"N/A"
"tt3818562";"Love Spells Are the Hardest";"2014";"N/A";"N/A"
"tt3818576";"I Ain't No Victim";"2014";"N/A";"N/A"
"tt3818596";"Beauty Queens Don't Wear Trash";"2014";"N/A";"N/A"
"tt3818614";"Just the Tip";"2014";"N/A";"N/A"
"tt3763978";"It Was an Accident";"2014";"N/A";"N/A"
"tt3818748";"The Monster's Back";"2014";"N/A";"N/A"
"tt3924202";"Prequel 1: Chingona Top Chef";"2014";"N/A";"N/A"
"tt3924218";"Prequel 2: Don't Worry Where I Got the Money";"2014";"N/A";"N/A"
"tt3924270";"Prequel 4: My Tongue Still Hurts";"2014";"N/A";"N/A"
"tt3924274";"Prequel 5: Drama Mama";"2014";"N/A";"N/A"
"tt3924282";"Prequel 6: Where's the Star of the Show?";"2014";"N/A";"N/A"
"tt3984232";"La Virgen de East Los High";"2015";"N/A";"N/A"
"tt4611138";"The Bitch Is Back";"2015";"N/A";"N/A"
"tt4611140";"End of an Era";"2015";"9,4";"5"
"tt4625034";"Sisters Before Misters";"2015";"N/A";"N/A"
"tt4869616";"From Witch to Bitch";"2015";"N/A";"N/A"
"tt4869630";"Valentine's Day";"2015";"N/A";"N/A"
"tt4869632";"Scar Wars";"2015";"N/A";"N/A"
"tt4893630";"I'm Not Eating Mexican";"2015";"N/A";"N/A"
"tt4893632";"Road Trip";"2015";"N/A";"N/A"
"tt4893636";"Mexifornia";"2015";"N/A";"N/A"
"tt4893642";"Playing with My Balls";"2015";"N/A";"N/A"
"tt4893648";"Dance Battle";"2015";"8,6";"5"
"tt5272490";"Orange Is the New Brown";"2016";"N/A";"N/A"
"tt5908590";"No Shirt, No Shoes, No Cholos";"2016";"N/A";"N/A"
"tt5903516";"Sex with the Ex";"2016";"N/A";"N/A"
"tt5908592";"Eddie's Got a Heart On";"2016";"N/A";"N/A"
"tt5908594";"We Have Obamacare";"2016";"N/A";"N/A"
"tt5901868";"Wanna Bro Job?";"2016";"10,0";"6"
"tt5908598";"You're Dancing Like a Gringo";"2016";"10,0";"6"
"tt5908600";"Mexican Wedding";"2016";"N/A";"N/A"
"tt5896754";"I Hope She Was Worth It";"2016";"10,0";"6"
"tt5896726";"Caliente!";"2016";"10,0";"6"
"tt5896774";"Ride or Die";"2016";"10,0";"6"
"tt5896792";"You're Free Now";"2016";"N/A";"N/A"
"tt4460418";"The Rabbit Hole";"2016";"8,7";"2516"
"tt5426278";"The Kill Floor";"2016";"8,7";"1867"
"tt4587208";"Other Voices, Other Rooms";"2016";"8,2";"1562"
"tt5432594";"The Eyes of Texas";"2016";"8,0";"1458"
"tt5432602";"The Truth";"2016";"8,3";"1367"
